number;meta_object|Район;name;ОЛ|ОД|Объект|Наименование;П|ОД|Наименование|i;П|ОД|Наименование|ii;П|ОД|Наименование|iii;ОЛ|ОД|Объект|Полное наименование;П|ОД|Полное наименование|i;П|ОД|Полное наименование|ii;П|ОД|Полное наименование|iii;address;ОЛ|ОД|Объект|Адрес;meta_object|Учащихся;ОЛ|ОД|Объект|Учащихся;ОЛ|ОД|Объект|Классов;ОЛ|ОД|Объект|Этажей;П|ОД|Подписант|Должность;П|ОД|Подписант|ФИО;П|ВКС|Отсутствует;П|ВКС|Производитель;П|ВКС|Модель;П|ЛВС|Список;ОЛ|Интернет|Провайдер|0|Наименование;ОЛ|Интернет|Провайдер|0|Тип;ОЛ|Интернет|Провайдер|0|Скорость;ОЛ|Интернет|Провайдер|1|Наименование;ОЛ|Интернет|Провайдер|1|Тип;ОЛ|Интернет|Провайдер|1|Скорость;ОЛ|ОД|Объект|Планы|0|Скан;ОЛ|ОД|Объект|Планы|0|Этаж;ОЛ|ОД|Объект|Планы|1|Скан;ОЛ|ОД|Объект|Планы|1|Этаж;ОЛ|ОД|Объект|Планы|2|Скан;ОЛ|ОД|Объект|Планы|2|Этаж;ОЛ|ОД|Объект|Планы|3|Скан;ОЛ|ОД|Объект|Планы|3|Этаж;ОЛ|ОД|Объект|Планы|4|Скан;ОЛ|ОД|Объект|Планы|4|Этаж;ОЛ|ОД|Объект|Планы|5|Скан;ОЛ|ОД|Объект|Планы|5|Этаж;ОЛ|ОД|Объект|Планы|6|Скан;ОЛ|ОД|Объект|Планы|6|Этаж;ОЛ|ОД|Объект|Планы|7|Скан;ОЛ|ОД|Объект|Планы|7|Этаж;ОЛ|ОД|Объект|Планы|8|Скан;ОЛ|ОД|Объект|Планы|8|Этаж;ОЛ|ОД|Объект|Планы|9|Скан;ОЛ|ОД|Объект|Планы|9|Этаж;ОЛ|ОД|Объект|Планы|10|Скан;ОЛ|ОД|Объект|Планы|10|Этаж;ОЛ|ОД|Объект|Планы|11|Скан;ОЛ|ОД|Объект|Планы|11|Этаж;ОЛ|ОД|Объект|Планы|12|Скан;ОЛ|ОД|Объект|Планы|12|Этаж;ОЛ|ОД|Объект|Планы|13|Скан;ОЛ|ОД|Объект|Планы|13|Этаж;ОЛ|ОД|Объект|Планы|14|Скан;ОЛ|ОД|Объект|Планы|14|Этаж;ОЛ|ОД|Объект|Планы|15|Скан;ОЛ|ОД|Объект|Планы|15|Этаж
534;Калачеевский;МКОУ Калачеевская гимназия №1;МКОУ Калачеевская гимназия №1;МКОУ Калачеевская гимназия №1;;;Муниципальное бюджетное общеобразовательное учреждение Калачеевская гимназия№1;Муниципальное бюджетное общеобразовательное учреждение Калачеевская гимназия№1;Муниципального бюджетного общеобразовательного учреждения Калачеевская гимназия№1;Муниципальному бюджетному общеобразовательному учреждению Калачеевская гимназия№1;397600, Воронежская обл., Калачеевский район, г. Калач, ул. Луначарского, д. 6;397600, Воронежская обл., Калачеевский район, г. Калач, ул. Луначарского, д. 6;448;454;21;3;Директор;Мартыненко В. Т.;1;;;\item Маршрутизатор с Wi-Fi TP-Link TP Link WR-841N -- 1~шт. ;ПАО "Ростелеком";DSL модем;10;-;-;-;1_44812_5ba3913320f6a;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
459;Хохольский;МКОУ Староникольская СОШ;МКОУ Староникольская СОШ;МКОУ Староникольская СОШ;МКОУ Староникольской СОШ;МКОУ Староникольской СОШ;Муниципальное казенное общеобразовательное  учреждение "Староникольская средняя  общеобразовательная школа";Муниципальное казенное общеобразовательное учреждение "Староникольская средняя общеобразовательная школа";Муниципального казённого общеобразовательного учреждения "Староникольская средняя общеобразовательная школа";Муниципальному казённому общеобразовательному учреждению "Староникольская средняя общеобразовательная школа";396851, Воронежская обл., Хохольский район, с. Староникольское, ул. Веры Чуркиной, д. 81;396851, Воронежская обл., Хохольский район, с. Староникольское, ул. Веры Чуркиной, д. 81;162;151;12;2;Директор;Ульянова Л. И.;1;;;\item Маршрутизатор без Wi-Fi D-Link DES 1016A -- 1~шт. \item Маршрутизатор без Wi-Fi D-Link DES 1024D -- 1~шт. \item Wi-Fi роутер TP-Link TL-WA5210G -- 1~шт. \item adsl модем Zyxel P660RU3 EE -- 1~шт. ;ПАО "Ростелеком";DSL модем;7;-;-;-;1_39158_5ba11114b9d3d;1;1_39182_5ba1112f80529;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
239;Новоусманский;МКОУ Рыканская СОШ;МКОУ Рыканская СОШ;МКОУ Рыканская СОШ;МКОУ Рыканской СОШ;МКОУ Рыканской СОШ;Муниципальное казенное общеобразовательное учреждение «Рыканская средняя общеобразовательная школа» Новоусманского муниципального района Воронежской области;Муниципальное казенное общеобразовательное учреждение «Рыканская средняя общеобразовательная школа» Новоусманского муниципального района Воронежской области;Муниципального казённого общеобразовательного учреждения «Рыканская средняя общеобразовательная школа» Новоусманского муниципального района Воронежской области;Муниципальному казённому общеобразовательному учреждению «Рыканская средняя общеобразовательная школа» Новоусманского муниципального района Воронежской области;Воронежская область Новоусманский район,396319 с.Рыкань, ул. Центральная,23;Воронежская область Новоусманский район,396319 с.Рыкань, ул. Центральная,23;115;112;9;2;Директор;Зайцев Ю. В.;1;;;\item Маршрутизатор с Wi-Fi Zyxel Keenetic Lite -- 1~шт. ;Мегафон;Радиоканал;4;-;-;-;1_29319_5b9a5fac8804f;1;1_29396_5b9a60a3337c3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
697;левобережный;МБОУ СОШ №30;МБОУ СОШ №30;МБОУ СОШ №30;МБОУ СОШ №30;МБОУ СОШ №30;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 30;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 30;Муниципального бюджетного общеобразовательного учреждения средняя общеобразовательная школа № 30;Муниципальному бюджетному общеобразовательному учреждению средняя общеобразовательная школа № 30;394028 г.Воронеж Туполева 20 к.1;394028 г.Воронеж Туполева 20 к.1;1160;1197;-;4;Директор;Стрепетов П. Л.;1;;;\item Маршрутизатор без Wi-Fi Zyxel Keenetic Lite -- 1~шт. ;Freedom (Информсвязь);Оптический кабель до здания школы;10;-;-;-;1_39123_5ba1099db4b00;1;1_39147_5ba10a5731523;2;1_39148_5ba10a966ae76;3;1_39149_5ba10aab311fe;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
313;Павловский;МКОУ Николаевская ООШ;МКОУ Николаевская ООШ;МКОУ Николаевская ООШ;МКОУ Николаевской ООШ;МКОУ Николаевской ООШ;Муниципальное казенное общеобразовательное учреждение Николаевская основная общеобразовательная школа Павловского муниципального района Воронежской области;Муниципальное казенное общеобразовательное учреждение Николаевская основная общеобразовательная школа Павловского муниципального района Воронежской области;Муниципального казённого общеобразовательного учреждения Николаевская основная общеобразовательная школа Павловского муниципального района Воронежской области;Муниципальному казённому общеобразовательному учреждению Николаевская основная общеобразовательная школа Павловского муниципального района Воронежской области;Российская Федерация, Воронежская область, Павловский район, Воронежская область, р-н. Павловский, с. Николаевка, пл. Победы, д. 2;Российская Федерация, Воронежская область, Павловский район, Воронежская область, р-н. Павловский, с. Николаевка, пл. Победы, д. 2;31;22;-;1;Директор;Черкашина Л. А.;1;;;\item Маршрутизатор с Wi-Fi D-Ljnk DSL-2604U -- 1~шт. ;Ростелеком;DSL модем;0.2;-;-;-;1_25632_5b98f8c59d393;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
383;Россошанский;МКОУ Терновская ООШ Россошанского муниципального района Воронежской области;МКОУ Терновская ООШ Россошанского муниципального района Воронежской области;МКОУ Терновская ООШ Россошанского муниципального района Воронежской области;МКОУ Терновской ООШ Россошанского муниципального района Воронежской области;МКОУ Терновской ООШ Россошанского муниципального района Воронежской области;муниципальное казенное общеобразовательное учреждение Терновская основная общеобразовательная школа Россошанского муниципального района Воронежской области;Муниципальное казенное общеобразовательное учреждение Терновская основная общеобразовательная школа Россошанского муниципального района Воронежской области;Муниципального казённого общеобразовательного учреждения Терновская основная общеобразовательная школа Россошанского муниципального района Воронежской области;Муниципальному казённому общеобразовательному учреждению Терновская основная общеобразовательная школа Россошанского муниципального района Воронежской области;396632, Россия, Воронежская область, Россошанский район, с. Терновка, ул. Школьная, 9;396632, Россия, Воронежская область, Россошанский район, с. Терновка, ул. Школьная, 9;68;72;16;2;Директор;Минаков В. Г.;1;;;\item Маршрутизатор без Wi-Fi D-Link DES -1210-10/ME -- 1~шт. ;ПАО "Ростелеком";DSL модем;1;-;-;-;1_44684_5ba38e305c692;1;1_44685_5ba38e3edc73c;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
353;Подгоренский;МКОУ Белогорьевская СОШ;МКОУ Белогорьевская СОШ;МКОУ Белогорьевская СОШ;МКОУ Белогорьевской СОШ;МКОУ Белогорьевской СОШ;муниципальное казенное общеобразовательное учреждение Белогорьевская средняя общеобразовательная школа Подгоренского муниципального района Воронежской области;Муниципальное казенное общеобразовательное учреждение Белогорьевская средняя общеобразовательная школа Подгоренского муниципального района Воронежской области;Муниципального казённого общеобразовательного учреждения Белогорьевская средняя общеобразовательная школа Подгоренского муниципального района Воронежской области;Муниципальному казённому общеобразовательному учреждению Белогорьевская средняя общеобразовательная школа Подгоренского муниципального района Воронежской области;396576, Воронежская обл., Подгоренский район, с. Белогорье, ул. Коминтерна, д. 70;396576, Воронежская обл., Подгоренский район, с. Белогорье, ул. Коминтерна, д. 70;121;122;18;2;Директор;Диденко И. В.;1;;;\item Маршрутизатор без Wi-Fi TP-Link TD-W8968 -- 1~шт. ;ПАО "Ростелеком";PPPoE;6;-;-;-;1_30825_5b9b61b8f21ff;2;1_30827_5b9b61dc72088;1;1_30799_5b9b619dcf842;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
309;Павловский;МКОУ Казинская СОШ;МКОУ Казинская СОШ;МКОУ Казинская СОШ;МКОУ Казинской СОШ;МКОУ Казинской СОШ;Муниципальное казенное общеобразовательное учреждение Казинская средняя общеобразовательная школа;Муниципальное казенное общеобразовательное учреждение Казинская средняя общеобразовательная школа;Муниципального казённого общеобразовательного учреждения Казинская средняя общеобразовательная школа;Муниципальному казённому общеобразовательному учреждению Казинская средняя общеобразовательная школа;396452, Воронежская обл., Павловский район, с. Большая Казинка, ул. Почтовая, д. 8;396452, Воронежская обл., Павловский район, с. Большая Казинка, ул. Почтовая, д. 8;132;138;-;2;Директор;Гончарова К. И.;1;;;\item Модем Interkross  icxeth5670ne -- 1~шт. ;ПАО "Ростелеком";DSL модем;4;-;-;-;1_37954_5ba0e00499f37;1;1_37977_5ba0e079025a8;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
568;Новохоперский;МОУ Новохоперская СОШ №2;МОУ Новохоперская СОШ №2;МОУ Новохоперская СОШ №2;;;Муниципальное общеобразовательное учреждение Новохоперского муниципального района Воронежской области "Новохоперская средняя общеобразовательная школа №2";Муниципальное общеобразовательное учреждение Новохоперского муниципального района Воронежской области "Новохоперская средняя общеобразовательная школа №2";;;397400 Воронежская область, г.Новохоперск, ул. Советская, 25;397400 Воронежская область, г.Новохоперск, ул. Советская, 25;338;368;13;2;Директор ;Шаповалов В. А.;1;;;\item Маршрутизатор с Wi-Fi TP-Link TL-WR841N -- 1~шт. ;ПАО "Ростелеком";PPPoE;3;-;-;-;1_42305_5ba26b5dc48cb;2;1_42282_5ba26b4f68c60;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
468;Эртильский;МКОУ Первомайская СОШ;МКОУ Первомайская СОШ;МКОУ Первомайская СОШ;МКОУ Первомайской СОШ;МКОУ Первомайской СОШ;Муниципальное казенное образовательное учреждение Первомайская средняя общеобразовательная школа;Муниципальное казенное образовательное учреждение Первомайская средняя общеобразовательная школа;Муниципального казённого образовательного учреждения Первомайская средняя общеобразовательная школа;Муниципальному казённому образовательному учреждению Первомайская средняя общеобразовательная школа;397008, Воронежская обл., Эртильский район, п. Первомайский, ул. Школьная, д. 1;397008, Воронежская обл., Эртильский район, п. Первомайский, ул. Школьная, д. 1;127;124;12;2;Директор;Белоконев В. А.;1;;;\item Маршрутизатор без Wi-Fi D-Link DGS-1024D-E1 -- 1~шт. \item ADSL Роутер TP-Link TD-W8961ND -- 1~шт. ;ПАО "Ростелеком";PPPoE;3;-;-;-;1_32378_5b9b98b6b8074;2;1_32288_5b9b93de5b3d9;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
297;Павловский;МКОУ Петровская СОШ;МКОУ Петровская СОШ;МКОУ Петровская СОШ;МКОУ Петровской СОШ;МКОУ Петровской СОШ;Муниципальное казенное общеобразовательное учреждение Петровская средняя общеобразовательная школа Павловского муниципального района Воронежской области;Муниципальное казенное общеобразовательное учреждение Петровская средняя общеобразовательная школа Павловского муниципального района Воронежской области;Муниципального казённого общеобразовательного учреждения Петровская средняя общеобразовательная школа Павловского муниципального района Воронежской области;Муниципальному казённому общеобразовательному учреждению Петровская средняя общеобразовательная школа Павловского муниципального района Воронежской области;396443, Воронежская обл., Павловский район, с. Петровка, ул. Комарова, д. 14;396443, Воронежская обл., Павловский район, с. Петровка, ул. Комарова, д. 14;218;214;-;2;Директор;Прищепа Л. В.;1;;;\item роутер Acorp SWHUB-16P -- 1~шт. \item роутер D-Link DES-1024D D-Link DES-1024D -- 2~шт. \item роутер D-Link DES-1100-16 -- 1~шт. \item Коммутатор D-Ljnk DES-1210-10/ME/B1A -- 1~шт. \item роутер TP-Link TL-SF100BD(UN) TP-Link TL-SF100BD(UN) -- 1~шт. \item Wi-Fi роутер TP-Link TL-WR840N -- 2~шт. ;ПАО "Ростелеком";Оптический кабель;10;-;-;-;1_30441_5b9b5ab3d3aff;2;1_30586_5b9b5acd1e147;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
457;Хохольский;МБОУ Костенская СОШ;МБОУ Костенская СОШ;МБОУ Костенская СОШ;МБОУ Костенской СОШ;МБОУ Костенской СОШ;Муниципальное бюджетное общеобразовательное учреждение "Костенская средняя общеобразовательная школа";Муниципальное бюджетное общеобразовательное учреждение "Костенская средняя общеобразовательная школа";Муниципального бюджетного общеобразовательного учреждения "Костенская средняя общеобразовательная школа";Муниципальному бюджетному общеобразовательному учреждению "Костенская средняя общеобразовательная школа";396815, Воронежская обл., Хохольский район, с. Костенки, ул. Набережная, д. 134 а;396815, Воронежская обл., Хохольский район, с. Костенки, ул. Набережная, д. 134 а;93;572;16;3;Директор;Сыркина Л. В.;1;;;\item Коммутатор D-Link DES-1024D -- 1~шт. ;ПАО "Ростелеком";DSL модем;10;-;-;-;1_40273_5ba236916bc0e;0;1_40312_5ba236a811bf7;1;1_40313_5ba236bd0881d;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
76;Бутурлиновский;МКОУ Чулокская ООШ Бутурлиновского муниципального района Воронежской области;МКОУ Чулокская ООШ Бутурлиновского муниципального района Воронежской области;МКОУ Чулокская ООШ Бутурлиновского муниципального района Воронежской области;МКОУ Чулокской ООШ Бутурлиновского муниципального района Воронежской области;МКОУ Чулокской ООШ Бутурлиновского муниципального района Воронежской области;Муниципальное казенное общеобразовательное учреждение Чулокская основная общеобразовательная школа Бутурлиновского муниципального района  Воронежской области;Муниципальное казенное общеобразовательное учреждение Чулокская основная общеобразовательная школа Бутурлиновского муниципального района Воронежской области;Муниципального казённого общеобразовательного учреждения Чулокская основная общеобразовательная школа Бутурлиновского муниципального района Воронежской области;Муниципальному казённому общеобразовательному учреждению Чулокская основная общеобразовательная школа Бутурлиновского муниципального района Воронежской области;397511, Россия, Воронежская область, Бутурлиновский муниципальный район, с. Чулок ул. Советская, 2;397511, Россия, Воронежская область, Бутурлиновский муниципальный район, с. Чулок ул. Советская, 2;37;32;-;2;Директор ;Акиньшина Н. В.;1;;;\item Маршрутизатор с Wi-Fi TP-Link ArchercC50 -- 1~шт. \item adsl модем TP-Link TD-W8960N -- 1~шт. ;ПАО "Ростелеком";DSL модем;3;-;-;-;1_33748_5b9d3f0d7b191;1;1_33771_5b9d3f8363e7f;1;1_33772_5b9d3fc078fc4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
161;Кантемировский;МКОУ Новомарковская СОШ;МКОУ Новомарковская СОШ;МКОУ Новомарковская СОШ;МКОУ Новомарковской СОШ;МКОУ Новомарковской СОШ;Муниципальное казенное общеобразоватльное учреждение Новомарковская средняя общеобразовательная школа;Муниципальное казенное общеобразоватльное учреждение Новомарковская средняя общеобразовательная школа;;;396702, Воронежская обл., Кантемировский район, с. Новомарковка, ул. Советская, д. 16;396702, Воронежская обл., Кантемировский район, с. Новомарковка, ул. Советская, д. 16;159;140;21;2;Директор;Чайка И. Н.;1;;;\item Коммутатор c Wi-Fi ASUS DIR-300 -- 1~шт. \item adsl модем роутер с модулем Wi-Fi D-Link DSL-2740U -- 1~шт. \item Коммутатор c Wi-Fi TP-Link DES-1005 -- 1~шт. \item Коммутатор TP-Link DES-1016A -- 1~шт. ;ПАО "Ростелеком";PPPoE;1;-;-;-;1_52976_5bacec8be52d1;1;1_53030_5bacecb7136f5;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
134;Калачеевский;МКОУ Лесковская ООШ;МКОУ Лесковская ООШ;МКОУ Лесковская ООШ;МКОУ Лесковской ООШ;МКОУ Лесковской ООШ;Муниципальное казённое общеобразовательное учреждение Лесковская основная общеобразоваетльная школа;Муниципальное казённое общеобразовательное учреждение Лесковская основная общеобразоваетльная школа;Муниципального казённого общеобразовательного учреждения Лесковская основная общеобразоваетльная школа;Муниципальному казённому общеобразовательному учреждению Лесковская основная общеобразоваетльная школа;397621, Россия, Воронежская область, Калачеевский район, село Лесково, ул. Садовая, дом №3;397621, Россия, Воронежская область, Калачеевский район, село Лесково, ул. Садовая, дом №3;41;23;13;2;Директор;Багишвили И. Ш.;1;;;\item DSLAM Алситек МСП-ОС ADSL-8 -- 1~шт. ;ПАО "Ростелеком";SHDSL модем;0.5;-;-;-;1_39733_5ba2021579ea0;1;1_39761_5ba2022ec55be;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
266;Ольховатский;МБОУ Заболотовская СОШ;МБОУ Заболотовская СОШ;МБОУ Заболотовская СОШ;МБОУ Заболотовской СОШ;МБОУ Заболотовской СОШ;Муниципальное бюджетное общеобразовательное учреждение Заболотовская средняя обшеобразовательная школа;Муниципальное бюджетное общеобразовательное учреждение Заболотовская средняя обшеобразовательная школа;Муниципального бюджетного общеобразовательного учреждения Заболотовская средняя обшеобразовательная школа;Муниципальному бюджетному общеобразовательному учреждению Заболотовская средняя обшеобразовательная школа;396691, Воронежская обл., Ольховатский район, п. Заболотовка, ул. Зеленая, д. 15;396691, Воронежская обл., Ольховатский район, п. Заболотовка, ул. Зеленая, д. 15;425;398;23;2;Директор;Яковенко С. А.;1;;;\item Коммутатор D-Link DES-1008A -- 1~шт. \item Коммутатор D-Link DES-1016A -- 2~шт. \item Маршрутизатор без Wi-Fi D-Link DIR-615 -- 1~шт. ;ПАО "Ростелеком";PPPoE;20;-;-;-;1_38863_5ba0f34f9b5e7;1;1_38864_5ba0f36519530;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
24;Бобровский ;МКОУ Песковатская ООШ;МКОУ Песковатская ООШ;МКОУ Песковатская ООШ;МКОУ Песковатской ООШ;МКОУ Песковатской ООШ;муниципальное казенное общеобразовательное учреждение Песковатская основная общеобразовательная школа;Муниципальное казенное общеобразовательное учреждение Песковатская основная общеобразовательная школа;Муниципального казённого общеобразовательного учреждения Песковатская основная общеобразовательная школа;Муниципальному казённому общеобразовательному учреждению Песковатская основная общеобразовательная школа;397735. Воронежская область. Бобровский район. Село Песковатка. улица Центральная. 40;397735. Воронежская область. Бобровский район. Село Песковатка. улица Центральная. 40;30;30;8;2;Директор школы;Гусева С. И.;1;;;\item Маршрутизатор с Wi-Fi Zyxel P-600 -- 1~шт. ;ПАО "Ростелеком";DSL модем;3;-;-;-;1_29264_5b9a647b9a2a3;1;1_29458_5b9a659a73fb5;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
321;Панинский;МКОУ Октябрьская СОШ;МКОУ Октябрьская ООШ;МКОУ Октябрьская ООШ;МКОУ Октябрьской ООШ;МКОУ Октябрьской ООШ;Муниципальное казенное общеобразовательное учреждение Октябрьская основная общеобразовательная школа Панинского муниципального района Воронежской области;Муниципальное казенное общеобразовательное учреждение Октябрьская основная общеобразовательная школа Панинского муниципального района Воронежской области;Муниципального казённого общеобразовательного учреждения Октябрьская основная общеобразовательная школа Панинского муниципального района Воронежской области;Муниципальному казённому общеобразовательному учреждению Октябрьская основная общеобразовательная школа Панинского муниципального района Воронежской области;396153 Воронежская обл Панинский район п.Октябрьский ул. 50 лет Октября д.39;396153, Воронежская область, Панинский район, п.Октябрьский, д.39;44;46;-;2;Директор;Поповская Е. Ю.;1;;;\item ADSL роутер Huawei EchoLifeHG520 -- 1~шт. ;ПАО "Ростелеком";PPPoE;0.1;-;-;-;1_65799_5be568bd42f89;1;1_65859_5be56917ab986;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
99;Верхнехавский;МКОУ Углянская СОШ;МКОУ Углянская СОШ;МКОУ Углянская СОШ;МКОУ Углянской СОШ;МКОУ Углянской СОШ;Муниципальное казенное общеобразовательное учреждение Углянская Средняя общеобразовательная школа  Верхнехавского муниципального района Воронежской области.		;Муниципальное казенное общеобразовательное учреждение Углянская Средняя общеобразовательная школа Верхнехавского муниципального района Воронежской области;Муниципального казённого общеобразовательного учреждения Углянская Средняя общеобразовательная школа Верхнехавского муниципального района Воронежской области;Муниципальному казённому общеобразовательному учреждению Углянская Средняя общеобразовательная школа Верхнехавского муниципального района Воронежской области;396130, Воронежская обл., Верхнехавский район, с. Углянец, ул. Ломоносова, д. 167д;396130, Воронежская обл., Верхнехавский район, с. Углянец, ул. Ломоносова, д. 167д;467;480;28;3;Директор;Мащенко Л. Ю.;1;;;\item Коммутатор Huawei D-Link DES-1210-10/ME -- 1~шт. ;ПАО "Ростелеком";Оптический кабель;20.0;-;-;-;1_48203_5ba898cca9d0f;2;1_48204_5ba89899cb18c;3;1_48108_5ba89858c4e23;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
4;Аннинский ;МКОУ Верхнетойденская СОШ;МКОУ Верхнетойденская СОШ;МКОУ Верхнетойденская СОШ;МКОУ Верхнетойденской СОШ;МКОУ Верхнетойденской СОШ;Муниципальное казенноу общеобразовательное учереждение Верхнетойденская средняя общеобразовательная школа;Муниципальное казенноу общеобразовательное учереждение Верхнетойденская средняя общеобразовательная школа;;;396247, Воронежская обл., Аннинский район, с. Верхняя Тойда, ул. Ленина, д. 19 а;396247, Воронежская обл., Аннинский район, с. Верхняя Тойда, ул. Ленина, д. 19 а;97;97;10;2;Директор;Половица С. В.;1;;;\item Маршрутизатор с Wi-Fi TP-Link TD-W8960N -- 1~шт. ;ПАО "Ростелеком";DSL модем;10;-;-;-;1_51833_5bab6d575995f;1;1_51856_5bab6d685618c;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
276;Острогожский;МКОУ Хохол-Тростянская ООШ;МКОУ Хохол-Тростянская ООШ;МКОУ Хохол-Тростянская ООШ;МКОУ Хохол-Тростянской ООШ;МКОУ Хохол-Тростянской ООШ;муниципальное казённое общеобразовательное учреждение Хохол-Тростянская основная общеобразовательная школа;Муниципальное казённое общеобразовательное учреждение Хохол-Тростянская основная общеобразовательная школа;Муниципального казённого общеобразовательного учреждения Хохол-Тростянская основная общеобразовательная школа;Муниципальному казённому общеобразовательному учреждению Хохол-Тростянская основная общеобразовательная школа;397843, Россия, Воронежская область, Острогожский район, с. Хохол-Тростянка, п. Школьный, д. 4;397843, Россия, Воронежская область, Острогожский район, с. Хохол-Тростянка, п. Школьный, д. 4;42;39;8;2;Директор;Зарвигорова В. Ф.;1;;;\item Маршрутизатор с Wi-Fi D-Link DSL-G225 -- 1~шт. ;ПАО "Ростелеком";DSL модем;3;-;-;-;1_60647_5bdbfb54212bc;2;1_60646_5bdbfb9fe3e6e;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
319;Панинский;МКОУ Перелешинская СОШ;МКОУ Перелешинская СОШ;МКОУ Перелешинская СОШ;МКОУ Перелешинской СОШ;МКОУ Перелешинской СОШ;Муниципальное казенное общеобразовательное учреждение Перелешинская средняя общеобразовательная школа Панинского муниципального района Воронежской области;Муниципальное казенное общеобразовательное учреждение Перелешинская средняя общеобразовательная школа Панинского муниципального района Воронежской области;Муниципального казённого общеобразовательного учреждения Перелешинская средняя общеобразовательная школа Панинского муниципального района Воронежской области;Муниципальному казённому общеобразовательному учреждению Перелешинская средняя общеобразовательная школа Панинского муниципального района Воронежской области;396180 Воронежская обл Панинский район ст.Перелёшино ул.50лет Октября д.5Б;396180 Воронежская обл Панинский район п.Перелешино ул.50лет Октября д.5Б;260;240;-;2;Директор;Мичманова Н. Н.;1;;;\item ADSL Роутер D-Link DSL-2640U -- 1~шт. ;ПАО "Ростелеком";PPPoE;0.128;-;-;-;1_64904_5be540ddb9efd;1;1_64971_5be5424349d69;1;1_64972_5be542f1ec302;2;1_65294_5be543b65b830;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
675;Коминтерновский;МБОУ лицей №8;МБОУ лицей №8;МБОУ лицей №8;;;Муниципальное бюджетное общеобразовательное учреждение лицей №8;Муниципальное бюджетное общеобразовательное учреждение лицей №8;Муниципального бюджетного общеобразовательного учреждения лицей №8;Муниципальному бюджетному общеобразовательному учреждению лицей №8;ул. Генерала Лизюкова 52;ул. Генерала Лизюкова 52;1251;1319;-;3;Директор;Алексенко Т. Б.;0;AVER;EVC130P;\item Маршрутизатор без Wi-Fi D-Link DES-1024A -- 2~шт. ;WiFire, NetByNet, Puzzle (Нэт Бай Нэт);Оптический кабель до здания школы;30;-;-;-;1_45887_5ba4be88ba80a;1;1_45910_5ba4be9ab7662;2;1_45911_5ba4bedabf8af;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
