number;meta_object|Район;name;ОЛ|ОД|Объект|Наименование;П|ОД|Наименование|i;П|ОД|Наименование|ii;П|ОД|Наименование|iii;ОЛ|ОД|Объект|Полное наименование;П|ОД|Полное наименование|i;П|ОД|Полное наименование|ii;П|ОД|Полное наименование|iii;address;ОЛ|ОД|Объект|Адрес;meta_object|Учащихся;ОЛ|ОД|Объект|Учащихся;ОЛ|ОД|Объект|Классов;ОЛ|ОД|Объект|Этажей;П|ОД|Подписант|Должность;П|ОД|Подписант|ФИО;П|ВКС|Отсутствует;П|ВКС|Производитель;П|ВКС|Модель;П|ЛВС|Список;ОЛ|Интернет|Провайдер|0|Наименование;ОЛ|Интернет|Провайдер|0|Тип;ОЛ|Интернет|Провайдер|0|Скорость;ОЛ|Интернет|Провайдер|1|Наименование;ОЛ|Интернет|Провайдер|1|Тип;ОЛ|Интернет|Провайдер|1|Скорость;ОЛ|ОД|Объект|Планы|0|Скан;ОЛ|ОД|Объект|Планы|0|Этаж;ОЛ|ОД|Объект|Планы|1|Скан;ОЛ|ОД|Объект|Планы|1|Этаж;ОЛ|ОД|Объект|Планы|2|Скан;ОЛ|ОД|Объект|Планы|2|Этаж;ОЛ|ОД|Объект|Планы|3|Скан;ОЛ|ОД|Объект|Планы|3|Этаж;ОЛ|ОД|Объект|Планы|4|Скан;ОЛ|ОД|Объект|Планы|4|Этаж;ОЛ|ОД|Объект|Планы|5|Скан;ОЛ|ОД|Объект|Планы|5|Этаж;ОЛ|ОД|Объект|Планы|6|Скан;ОЛ|ОД|Объект|Планы|6|Этаж;ОЛ|ОД|Объект|Планы|7|Скан;ОЛ|ОД|Объект|Планы|7|Этаж;ОЛ|ОД|Объект|Планы|8|Скан;ОЛ|ОД|Объект|Планы|8|Этаж;ОЛ|ОД|Объект|Планы|9|Скан;ОЛ|ОД|Объект|Планы|9|Этаж;ОЛ|ОД|Объект|Планы|10|Скан;ОЛ|ОД|Объект|Планы|10|Этаж;ОЛ|ОД|Объект|Планы|11|Скан;ОЛ|ОД|Объект|Планы|11|Этаж;ОЛ|ОД|Объект|Планы|12|Скан;ОЛ|ОД|Объект|Планы|12|Этаж;ОЛ|ОД|Объект|Планы|13|Скан;ОЛ|ОД|Объект|Планы|13|Этаж;ОЛ|ОД|Объект|Планы|14|Скан;ОЛ|ОД|Объект|Планы|14|Этаж;ОЛ|ОД|Объект|Планы|15|Скан;ОЛ|ОД|Объект|Планы|15|Этаж
456;Хохольский;МКОУ Хохольская СОШ;МКОУ Хохольская СОШ;МКОУ Хохольская СОШ;МКОУ Хохольской СОШ;МКОУ Хохольской СОШ;Муниципальное казенное общеобразовательное учреждение "Хохольская средняя общеобразовательная школа"М;Муниципальное казенное общеобразовательное учреждение "Хохольская средняя общеобразовательная школа"М;Муниципального казённого общеобразовательного учреждения "Хохольская средняя общеобразовательная школа"М;Муниципальному казённому общеобразовательному учреждению "Хохольская средняя общеобразовательная школа"М;396830, Воронежская обл., Хохольский район, с. Хохол, пер. Советский, д. 14;396830, Воронежская обл., Хохольский район, с. Хохол, пер. Советский, д. 14;553;572;34;2;Директор;Строева О. Н.;0;Logitech Group;PTZ Pro Camera;\item Коммутатор D-Link DES 1024D -- 1~шт. \item Коммутатор D-Link DES-1016 -- 1~шт. \item Коммутатор D-Link DES-1024A -- 1~шт. \item Коммутатор D-Link DES-1024D -- 1~шт. \item Коммутатор D-Link DES-1026G -- 1~шт. ;Мегафон;Радиоканал;8;-;-;-;1_44370_5ba39dbdc351d;0;1_44608_5ba39dcd8ab97;1;1_45250_5ba39de9eddeb;1;1_45251_5ba39dfeb6142;2;1_45253_5ba39e1f622ef;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
486;Бобровский ;МБОУ Бобровская СОШ № 1;МБОУ Бобровская СОШ № 1;МБОУ Бобровская СОШ № 1;МБОУ Бобровской СОШ № 1;МБОУ Бобровской СОШ № 1;Муниципальное бюджетное общеобразовательное учреждение Бобровская средняя общеобразовательная школа №1;Муниципальное бюджетное общеобразовательное учреждение Бобровская средняя общеобразовательная школа №1;Муниципального бюджетного общеобразовательного учреждения Бобровская средняя общеобразовательная школа №1;Муниципальному бюджетному общеобразовательному учреждению Бобровская средняя общеобразовательная школа №1;397706, Воронежская обл., Бобровский район, г. Бобров, ул. Зои Космодемьянской, д. 150;397706, Воронежская обл., Бобровский район, г. Бобров, ул. Зои Космодемьянской, д. 150;1068;1100;-;3;Директор школы;Кравченко Л. В.;0;Aver;HVC130;\item Маршрутизатор с Wi-Fi D-Link DVG-N5402GF -- 1~шт. \item Точка доступа Wi-Fi UNI-FI UniFi AP -- 1~шт. ;ПАО "Ростелеком";Оптический кабель до здания школы;10;-;-;-;1_21793_5b975ad8e17dc;1;1_21816_5b975b354186c;2;1_21817_5b975b79075de;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
165;Кантемировский;МКОУ Митрофановская СОШ;МКОУ Митрофановская СОШ;МКОУ Митрофановская СОШ;МКОУ Митрофановской СОШ;МКОУ Митрофановской СОШ;Муниципальное бюджетное общеобразовательное учреждение Митрофановская средняя общеобразовательная школа;Муниципальное бюджетное общеобразовательное учреждение Митрофановская средняя общеобразовательная школа;Муниципального бюджетного общеобразовательного учреждения Митрофановская средняя общеобразовательная школа;Муниципальному бюджетному общеобразовательному учреждению Митрофановская средняя общеобразовательная школа;396700, Воронежская обл., Кантемировский район, с. Митрофановка, ул. Победы, д. 29;396700, Воронежская обл., Кантемировский район, с. Митрофановка, ул. Победы, д. 29;614;613;28;3;Директор;Косолапенкова О. Н.;1;;;\item Коммутатор 3COM 3CRSG2093 -- 1~шт. \item Коммутатор c Wi-Fi D-Link DAP-1360 -- 1~шт. \item adsl модем роутер с модулем Wi-Fi TP-Link TD-W8960N -- 1~шт. ;ПАО "Ростелеком";PPPoE;3;-;-;-;1_53751_5bb1bef0d2212;1;1_53774_5bb1bf1a6a0c3;2;1_53775_5bb1bf68985f1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
390;Россошанский;МКОУ Архиповская СОШ;МКОУ Архиповская СОШ;МКОУ Архиповская СОШ;МКОУ Архиповской СОШ;МКОУ Архиповской СОШ;Муниципальное казенное общеобразовательное учреждение Архиповская средняя общеобразовательная школа Россошанского муниципального района Воронежской области;Муниципальное казенное общеобразовательное учреждение Архиповская средняя общеобразовательная школа Россошанского муниципального района Воронежской области;Муниципального казённого общеобразовательного учреждения Архиповская средняя общеобразовательная школа Россошанского муниципального района Воронежской области;Муниципальному казённому общеобразовательному учреждению Архиповская средняя общеобразовательная школа Россошанского муниципального района Воронежской области;396602, Воронежская обл., Россошанский район, с. Архиповка, ул. Октябрьская, д. 42-а;396602, Воронежская обл., Россошанский район, с. Архиповка, ул. Октябрьская, д. 42-а;191;186;15;2;Директор;Архипенко З. Х.;1;;;\item Коммутатор D-Link DES-1210-10/ME/B1A -- 1~шт. ;ПАО "Ростелеком";выделенная линия ВОЛС;7;-;-;-;1_34232_5b9f4a916bdb5;2;1_34179_5b9f4a81b925f;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
409;Семилукский;МКОУ Стрелицкая СОШ;МКОУ Стрелицкая СОШ;МКОУ Стрелицкая СОШ;МКОУ Стрелицкой СОШ;МКОУ Стрелицкой СОШ;муниципальное казенное общеобразовательное учреждение Стрелицкая средняя общеобразовательная школа Семилукского муниципального района Воронежской области;Муниципальное казенное общеобразовательное учреждение Стрелицкая средняя общеобразовательная школа Семилукского муниципального района Воронежской области;Муниципального казённого общеобразовательного учреждения Стрелицкая средняя общеобразовательная школа Семилукского муниципального района Воронежской области;Муниципальному казённому общеобразовательному учреждению Стрелицкая средняя общеобразовательная школа Семилукского муниципального района Воронежской области;396941, Воронежская обл., Семилукский район, п. Стрелица, ул. Комсомольская, д. 2;396941, Воронежская обл., Семилукский район, п. Стрелица, ул. Комсомольская, д. 2;370;400;20;2;Директор;Федосеева С. А.;1;;;\item Коммутатор D-Link DES-1008A -- 1~шт. \item Маршрутизатор без Wi-Fi Zyxel P-660 -- 1~шт. ;Ростелеком;DSL модем;10;-;-;-;1_41089_5ba2463873834;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
385;Россошанский;МКОУ Поповская СОШ;МКОУ Поповская СОШ;МКОУ Поповская СОШ;МКОУ Поповской СОШ;МКОУ Поповской СОШ;Муниципальное казенное общеобразовательное учреждение Поповская средняя общеобразовательная школа имени Героя Советского Союза Н.К. Горбанева ;Муниципальное казенное общеобразовательное учреждение Поповская средняя общеобразовательная школа имени Героя Советского Союза Н.К. Горбанева;Муниципального казённого общеобразовательного учреждения Поповская средняя общеобразовательная школа имени Героя Советского Союза Н.К. Горбанева;Муниципальному казённому общеобразовательному учреждению Поповская средняя общеобразовательная школа имени Героя Советского Союза Н.К. Горбанева;396614, Воронежская обл., Россошанский район, с. Поповка, ул. Ленина, д. 36;396614, Воронежская обл., Россошанский район, с. Поповка, ул. Ленина, д. 36;243;250;15;1;Завхоз;Белкин Ю. Ю.;1;;;\item Коммутатор D-Link DES-1008A -- 1~шт. ;ПАО "Ростелеком";Оптический кабель;7;-;-;-;1_32233_5b9b91aeb33c1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
94;Верхнемамонский;МКОУ Мамоновская ООШ;МКОУ Мамоновская ООШ;МКОУ Мамоновская ООШ;МКОУ Мамоновской ООШ;МКОУ Мамоновской ООШ;муниципальное казенное общеобразовательное учреждение  "Мамоновская основная общеобразовательная школа  Верхнемамонского муниципального района Воронежской области";Муниципальное казенное общеобразовательное учреждение "Мамоновская основная общеобразовательная школа Верхнемамонского муниципального района Воронежской области";Муниципального казённого общеобразовательного учреждения "Мамоновская основная общеобразовательная школа Верхнемамонского муниципального района Воронежской области";Муниципальному казённому общеобразовательному учреждению "Мамоновская основная общеобразовательная школа Верхнемамонского муниципального района Воронежской области";Воронежская обл.,Верхнемамонский район,с.Мамоновка,ул.Первомайская,1/2;Воронежская обл.,Верхнемамонский район,с.Мамоновка,ул.Первомайская,1/2;53;56;10;2;Директор;Черных А. А.;1;;;\item Маршрутизатор netgear wnr3500 wnr3500 -- 1~шт. ;ВипЛайн;Радиоканал;0.256;-;-;-;1_50837_5baa2815beb51;1;1_50865_5baa284e2dcbe;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
280;Острогожский;МКОУ Коротоякская СОШ;МКОУ Коротоякская СОШ;МКОУ Коротоякская СОШ;МКОУ Коротоякской СОШ;МКОУ Коротоякской СОШ;Муниципальное казённое общеобразовательное учреждение Коротоякская средняя общеобразовательная школа;Муниципальное казённое общеобразовательное учреждение Коротоякская средняя общеобразовательная школа;Муниципального казённого общеобразовательного учреждения Коротоякская средняя общеобразовательная школа;Муниципальному казённому общеобразовательному учреждению Коротоякская средняя общеобразовательная школа;397813, Воронежская обл. Острогожский район, с. Коротояк, ул. Ленина, д. 2;397813, Воронежская обл. Острогожский район, с. Коротояк, ул. Ленина, д. 2;109;118;11;2;Директор;Ряузова Г. Г.;1;;;\item Коммутатор D-Link DES-1026G -- 1~шт. \item Маршрутизатор с Wi-Fi D-Link DIR-100 -- 1~шт. ;ПАО "Ростелеком";DSL модем;3;-;-;-;1_60533_5bdbe33ec1773;2;1_61164_5bdc12cc3b5af;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
65;Борисоглебский;МКОУ Чигоракская СОШ (Миролюбский филиал);МКОУ Чигоракская СОШ (Миролюбский филиал);МКОУ Чигоракская СОШ (Миролюбский филиал);МКОУ Чигоракской СОШ (Миролюбский филиал);МКОУ Чигоракской СОШ (Миролюбский филиал);Филиал Муниципальное казённое общеобразовательное учреждение Борисоглебского городского округа Чигоракской средней общеобразовательной школы в с. Миролюбие;Филиал Муниципальное казённое общеобразовательное учреждение Борисоглебского городского округа Чигоракской средней общеобразовательной школы в с. Миролюбие;;;397152 Воронежская область  Борисоглебский район  посёлок Миролюбие, ул.Свободы,7;397152 Воронежская область  Борисоглебский район  посёлок Миролюбие, ул.Свободы,7;63;67;12;2;Директор;Окунева И. В.;1;;;\item Маршрутизатор с Wi-Fi TP-Link SNR-CVT-100B -- 1~шт. \item Маршрутизатор с Wi-Fi TP-Link TP Link WR-841N -- 1~шт. ;ПАО "Ростелеком";DSL модем;7;-;-;-;1_48873_5ba8eb23ca1f0;2;1_48850_5ba8eb0a17d6f;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
141;Калачеевский;МКОУ Хрещатовская СОШ;МКОУ Хрещатовская СОШ;МКОУ Хрещатовская СОШ;МКОУ Хрещатовской СОШ;МКОУ Хрещатовской СОШ;Муниципальное казённое общебразовательное учреждение Хрещатовская средняя общеобразовательная школа;Муниципальное казённое общебразовательное учреждение Хрещатовская средняя общеобразовательная школа;;;397622, Воронежская обл., Калачеевский район, с. Хрещатое, ул. Восточная, д. 11;397622, Воронежская обл., Калачеевский район, с. Хрещатое, ул. Восточная, д. 11;46;46;16;1;Директор;Протасов А. И.;1;;;\item МСП-ОС Алситек МСП-ОС ADSL-8 -- 1~шт. ;ПАО "Ростелеком";МСП-ОС;0.4;-;-;-;1_43459_5ba358b8ee1a1;2;1_43482_5ba358c7ddea1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
